Physicochemical properties,Base stacking,Protein induced deformability,B-DNA twist,Dinucleotide GC Content,A-philicity,Propeller twist,Duplex stability-free energy,Duplex stability-disrupt energy,DNA denaturation,Bending stiffness,Protein DNA twist,Stabilising energy of Z-DNA,Aida_BA_transition,Breslauer_dG,Breslauer_dH,Breslauer_dS,Electron_interaction,Hartman_trans_free_energy,Helix-Coil_transition,Ivanov_BA_transition,Lisser_BZ_transition,Polar_interaction,SantaLucia_dG,SantaLucia_dH,SantaLucia_dS,Sarai_flexibility,Stability,Stacking_energy,Sugimoto_dG,Sugimoto_dH,Sugimoto_dS,Watson-Crick_interaction,Twist,Tilt,Roll,Shift,Slide,Rise,Stacking energy,Bend,Tip,Inclination,Major Groove Width,Major Groove Depth,Major Groove Size,Major Groove Distance,Minor Groove Width,Minor Groove Depth,Minor Groove Size,Minor Groove Distance,Persistance Length,Melting Temperature,Mobility to bend towards major groove,Mobility to bend towards minor groove,Propeller Twist,Clash Strength,Enthalpy,Free energy,Twist_twist,Tilt_tilt,Roll_roll,Twist_tilt,Twist_roll,Tilt_roll,Shift_shift,Slide_slide,Rise_rise,Shift_slide,Shift_rise,Slide_rise,Twist_shift,Twist_slide,Twist_rise,Tilt_shift,Tilt_slide,Tilt_rise,Roll_shift,Roll_slide,Roll_rise,Slide stiffness,Shift stiffness,Roll stiffness,Rise stiffness,Tilt stiffness,Twist stiffness,Wedge,Direction,Flexibility_slide,Flexibility_shift,Entropy
Base stacking,1.0,0.04801125797077402,-0.17620509758668515,-0.6739090115843519,0.2506121840677768,-0.29257740643826713,0.5645595481326738,-0.34829707138494687,-0.8905015080735577,-0.46653088038653623,0.22926758744296624,-0.16385454488091325,-0.5873832926822716,-0.40046944353802827,-0.23133966419713664,-0.12592304496335255,-0.6739090115843519,0.82621815496563,-0.40049830037708123,0.2506121840677768,0.826941444260518,-0.6739090115843519,-0.8078590391810687,-0.6844422747162959,-0.5185981194787441,-0.025341163770307356,-0.8624140319374737,-0.99996140444781,-0.5926026206522901,-0.6391634422454444,-0.6085874862218579,-0.6739090115843519,-0.23658910965673557,-0.3596392839113704,-0.6726351707625909,-0.025687746032074427,-0.32566381071810613,-0.6526981190071225,0.27679580959730044,0.4076347990693445,0.09283936286658537,0.0,-0.4088080204971497,0.26013279917232013,0.285431015731938,0.516641930144001,0.24451783881948014,0.23908208162316577,-0.10176642068224614,-0.5614952748236166,-0.46653088038653623,-0.9652481284447026,0.5902502690565977,-0.3903080736377672,-0.32810283696262305,0.12436908111012926,0.6391634422454444,0.73929115486009,-0.16241522806618855,-0.4283725851665708,-0.44171811576745607,0.0754207688538229,-0.02496685022586742,0.04698504159868872,0.22021823564545712,-0.06025579469804465,-0.541841002779303,-0.1588969903697651,-0.08335372670690615,-0.5849895344595165,0.09884611436711904,0.31997019058599674,0.38253129135698344,0.5644222615441867,0.42876860835518704,-0.15961244319072612,-0.21738262804585728,-0.40980590633190456,-0.6783662743370114,-0.32566381071810613,-0.025687746032074427,-0.6726351707625909,-0.6526981190071225,-0.3596392839113704,-0.23658910965673557,0.11039324437389378,-0.2842414394233559,0.1765155713935769,-0.11742969065349587,0.4889137536813821
Protein induced deformability,0.04801125797077402,1.0,-0.03433644062989056,0.4165260807003739,0.2942654011604442,0.6686215663756611,-0.5760010085468061,0.5750726696376086,-0.22370903244173998,0.32575816057188023,0.6829405810070283,-0.9186699853513498,0.456142000116536,0.5004894331581956,0.11554159657532447,-0.08472399596917185,0.4165260807003739,0.49405941338151865,0.4988214205905834,0.2942654011604442,0.4911885203336237,0.4165260807003739,0.3999588349541352,0.17909692160324645,0.04114838867063735,-0.26348285204483574,-0.27460962038408887,-0.04231748249543781,0.5904010578668912,0.4589128865910585,0.38135617280620576,0.4165260807003739,-0.8930371305876834,-0.6400995331329798,-0.6727879057299876,-0.48585776811796527,-0.5555278544736058,-0.6459347807073632,-0.2399057209716626,0.24628333021370372,-0.4102277730454463,1.4841128654635774e-17,0.42552264157644626,-0.418095391836298,-0.040191113050036066,0.8104514996197635,-0.3117104118022163,0.5568442383344234,0.4920966336593856,-0.30074194246935854,0.32575816057188023,-0.15908904279765512,-0.3408460499196591,0.6334924914890819,0.3747238954413081,0.022089665029671034,-0.4589128865910585,-0.434621477666151,-0.8668842561523199,-0.7449235023610388,-0.7658415555816018,-0.1468283852816942,-0.6735091523517356,0.011592227659887483,-0.011656323317520886,-0.678445913883367,-0.6593676400500741,-0.4481630136834895,-0.22058769571599185,-0.5358717219169986,0.04819939879533675,0.6745747284241799,0.3697273749361873,-0.2442622985065298,0.43315722161686926,0.03289163423527473,-0.1208894214607368,0.43565808562860525,-0.5441983186056486,-0.5555278544736058,-0.48585776811796527,-0.6727879057299876,-0.6459347807073632,-0.6400995331329798,-0.8930371305876834,-0.11398623250045391,-0.034564097419020536,-0.7493898587959041,0.09417783895509635,-0.5476655308669375
B-DNA twist,-0.17620509758668515,-0.03433644062989056,1.0,-0.13697824759069419,0.5169004498769553,-0.03762192015568262,0.1660123144126634,-0.1605039761056111,-0.06895372666553662,-0.12190828018605297,0.03763449601543801,0.28025677293772855,0.28788947647124113,-0.0007258093415036071,-0.13394384327153408,-0.17595491322900336,-0.13697824759069419,-0.2509946266205149,-0.0005285280360368368,0.5169004498769553,-0.25053374202827394,-0.13697824759069419,0.003732769679532281,0.082706993085053,0.10842622665355253,0.42065089799599514,0.17999505658963363,0.174557008785739,-0.1724896984469236,-0.08857845497601213,-0.047885967760949284,-0.13697824759069419,-0.033126800305129496,0.15191258291565515,0.32050935602118197,-0.12584668472772068,0.34314256456008085,0.4743056788645437,0.09230106685715608,-0.1802244589666111,-0.198328275225119,1.4779173059305809e-18,0.11958265040641355,-0.40341551953558563,-0.33422692412129407,-0.20984223059604895,-0.47382500312725323,0.2778666308786671,-0.3876922324446473,0.25914604079412323,-0.12190828018605297,0.18385270028878684,0.16814978837505476,-0.06242104404564452,-0.28999977840938734,-0.46550180154983123,0.08857845497601213,0.20090376147470232,-0.02722831721114306,0.23009764305527075,0.2379931389647506,0.2027337577370958,0.3233759129900799,0.18989824045923312,-0.15142569028776015,0.20417496485398254,0.5413619969077821,0.07602488176528271,0.11377067476010863,0.10797669756610385,0.05589067150659182,0.07828966853765351,0.2828263819159633,0.13916676701807798,-0.4898396365681597,-0.3467379517684272,0.3534233338562048,0.09169559223393299,0.08248286240139283,0.34314256456008085,-0.12584668472772068,0.32050935602118197,0.4743056788645437,0.15191258291565515,-0.033126800305129496,-0.18590169098753453,0.09173028280302042,0.11580872596061982,-0.7700351305940234,0.10999109372402176
Dinucleotide GC Content,-0.6739090115843519,0.4165260807003739,-0.13697824759069419,1.0,-0.4139136646094879,0.762916911902626,-0.9418630564959943,0.7765365104583093,0.7069870082305741,0.9153149934721531,-0.06382702171776997,-0.44586371464291413,0.4403650353637327,0.7765365104583092,0.49794019935545875,0.3142814844824416,1.0,-0.43199329083151056,0.7777822356227045,-0.4139136646094879,-0.4342866851416567,1.0,0.9229528332177371,0.31958180043183354,0.014599901487497086,-0.3705416173285467,0.47423822761191753,0.6768595403097751,0.9240331705423673,0.8133829126259977,0.7142580575959928,1.0,-0.14436564144535707,0.21092033939480676,0.0666261567870468,0.0027378970350877274,-0.22842969918508804,0.10235829911697951,0.04380703669395189,-0.4453207268222784,-0.391563298143568,0.0,0.8653612582750145,-0.6527420394289886,0.0,-0.00638730931796018,-0.5237416004246169,0.047500649097994195,0.6745762656358538,2.220773257017264e-17,0.9153149934721531,0.6548135527410706,-0.8459081782224789,0.873401480432847,0.3647549524519555,0.3298025239093173,-0.8133829126259977,-0.9718757411388952,-0.11955543466507107,0.11415113367319886,0.04292741384722493,-0.36466247874473645,-0.6632457833953114,-0.417665481203814,0.1411412024243577,-0.05480734368220669,-0.0731033631117975,-0.02831363719974974,0.16623673663269237,0.03743233283466359,-0.10681624703871055,-0.10667408209830334,-0.04566611871103292,-0.9017008470220521,0.24333520878293333,0.2017424999620951,-0.25567055627192325,0.4071865848404612,0.2217559924575358,-0.22842969918508804,0.0027378970350877274,0.0666261567870468,0.10235829911697951,0.21092033939480676,-0.14436564144535707,-0.06844183960953985,0.15796985507704245,-0.5611578169786982,0.27859754630058414,-0.36020847033263736
A-philicity,0.2506121840677768,0.2942654011604442,0.5169004498769553,-0.4139136646094879,1.0,-0.27120170992902703,0.2797737563565346,-0.12334462133825395,-0.5793416299921008,-0.46730335656123156,0.740144277859827,-0.21927455724310066,0.020021608655941003,-0.14466070351372176,-0.34217299068596485,-0.4034215146198319,-0.4139136646094879,0.47966328308336087,-0.1463626917828235,1.0,0.4803503885737202,-0.4139136646094879,-0.19983206157588795,0.15311106978511038,0.27071214675440036,-0.1178490673873071,-0.1917579953272574,-0.24996839995097642,-0.2342961746670808,-0.25254155676516077,-0.2427919321461553,-0.4139136646094879,-0.5929331264055936,-0.4080542695743032,-0.23887011729879187,-0.12762771948645174,-0.24541885622740203,-0.25586842752327654,-0.4328051673069365,0.30865470926988947,-0.12284823303731751,1.4845715541344202e-17,-0.21197299397072208,-0.12633219414600608,-0.42487826499649434,0.47018482227189695,-0.2924195711092159,0.7592435860028294,-0.42963605998350235,-0.2636361704387507,-0.46730335656123156,-0.31449404531817976,0.40706572181825196,-0.186411835727456,-0.3194072994322055,-0.6236831485059589,0.25254155676516077,0.39397988533555156,-0.5122241577634911,-0.40944254517145967,-0.4176505215997719,0.34772563765617664,0.2981098167975879,0.22750828065053055,0.058439824788846885,-0.5133702189238847,-0.1670186322022259,0.08992426913074739,-0.07722187702538832,-0.4630178222143085,0.15353155810568606,0.3804303962684069,0.05228505029069452,0.38120428061000133,-0.15329050849222836,-0.5211293618375727,0.22094626696548408,0.22229093173143583,-0.6006433556379512,-0.24541885622740203,-0.12762771948645174,-0.23887011729879187,-0.25586842752327654,-0.4080542695743032,-0.5929331264055936,0.3003696652478735,0.03773857261300693,-0.047165332023394936,-0.5086590021191598,-0.2023311170259948
Propeller twist,-0.29257740643826713,0.6686215663756611,-0.03762192015568262,0.762916911902626,-0.27120170992902703,1.0,-0.686060101533261,0.5540922854207183,0.28887697726618405,0.7154972024329161,0.1685698144544089,-0.6389704036789846,0.3639208702494431,0.5044759833161298,0.1642376480667843,-0.014763739630106047,0.762916911902626,-0.029966271243536836,0.5065638015265449,-0.27120170992902703,-0.03204122290073973,0.762916911902626,0.5755753590670482,-0.03810728149651129,-0.2819893239297679,-0.10755261165841898,0.13985462738538784,0.2945639028731929,0.6521805670097757,0.5427375961792691,0.46833434640015725,0.762916911902626,-0.4222677516022793,-0.25707426305753417,-0.28282895088297266,-0.4930358941827924,-0.4047153474825301,-0.20623642132291897,0.20905259015543784,0.02609771281478133,-0.30685904492555854,2.9619065529748056e-17,0.747419163147886,-0.5403095869033155,-0.0902374842035364,0.3452330728590151,-0.3440317759599745,0.11411586789811007,0.5510295767580786,-0.05637147695301476,0.7154972024329161,0.27124936364494373,-0.772762298173193,0.8121380813462591,0.5851204691486391,0.1768459941081876,-0.5427375961792691,-0.7100957738393053,-0.42510707410278875,-0.3180755546778759,-0.3130760423826964,-0.5925779528624951,-0.7025629556352901,-0.36826847561083836,-0.013207247476256626,-0.21778962242256253,-0.27448867055695225,-0.35784262880792383,-0.1221775549477739,-0.21976709454977617,-0.30930090688165723,0.3684727230373485,0.4310260693214523,-0.5303019205197318,0.3599457318715629,0.3784964986664093,-0.46401227319070254,0.5279332771255983,-0.015551818852813835,-0.4047153474825301,-0.4930358941827924,-0.28282895088297266,-0.20623642132291897,-0.25707426305753417,-0.4222677516022793,-0.4805862234023401,0.05457890557399188,-0.80530787444471,0.02577645386814216,-0.18963505113946008
Duplex stability-free energy,0.5645595481326738,-0.5760010085468061,0.1660123144126634,-0.9418630564959943,0.2797737563565346,-0.686060101533261,1.0,-0.9077386719431192,-0.5806002393296195,-0.8581874547275737,-0.0713872904176494,0.571154103860876,-0.534473854671213,-0.9077386719431193,-0.6407299595834621,-0.4454026434163497,-0.9418630564959943,0.2634935349160252,-0.9073205570155108,0.2797737563565346,0.2666637936070277,-0.9418630564959943,-0.9284454434692765,-0.4536034530190286,-0.1655063085999082,0.43014213462762557,-0.3053958957449913,-0.5693823868640147,-0.9931888363058745,-0.873626245726446,-0.7672424222069588,-0.9418630564959943,0.3282370242920845,-0.09509241214458068,0.06637114241407359,-0.02635362712199823,0.26167515593469814,0.0577057076421028,0.09971222123511116,0.3947058110499837,0.4407526177787311,-2.965702843720296e-17,-0.80584104520962,0.6499050876664026,-0.08578985204517779,-0.14645524185213327,0.5252260647613515,-0.16572410844211038,-0.7402504716383589,0.062419574101211295,-0.8581874547275737,-0.5262126298871379,0.725623337399933,-0.854795491708209,-0.29011266410392095,-0.3537462051152468,0.873626245726446,0.9420518552809579,0.26789545377746415,0.02193633986569326,0.08737871640013313,0.1616135696974367,0.7626287456007255,0.2598936072863277,-0.21374090097405554,0.15995177474505534,0.22289939968039715,0.02888819913975831,-0.22242754704957646,0.033422999228015504,-0.11700404020172718,0.011443186648584592,0.06170277714025649,0.8735072678308047,-0.2735714127530855,-0.0433361316521678,0.12434343462724727,-0.3320601727300057,-0.0614324822974682,0.26167515593469814,-0.02635362712199823,0.06637114241407359,0.0577057076421028,-0.09509241214458068,0.3282370242920845,-0.04536051849101335,-0.14157901466710116,0.5566067122491972,-0.31159295487593813,0.5110744687602121
Duplex stability-disrupt energy,-0.34829707138494687,0.5750726696376086,-0.1605039761056111,0.7765365104583093,-0.12334462133825395,0.5540922854207183,-0.9077386719431192,1.0,0.40283288192934064,0.7723882707875519,0.2049817624451498,-0.58869835809657,0.37710532188568474,0.961434134730144,0.7931016697063892,0.6279874140135872,0.7765365104583093,-0.06459887822827218,0.961913576886786,-0.12334462133825395,-0.0669561205773325,0.7765365104583093,0.7927581215035218,0.43568771226257047,0.19104112697045972,-0.5275989372971924,0.10492837844650821,0.3532038249022616,0.8873804118031691,0.8113543815472944,0.7245868410512604,0.7765365104583093,-0.4718618527660871,0.03316036821737439,-0.15656452891953962,0.06805030566598759,-0.40289457814242474,-0.15243745170182477,-0.04764988183230604,-0.2089186005117583,-0.23862358175672682,-3.71084261591526e-18,0.7486065355034467,-0.6129892672633693,-0.010962868382940822,0.2565259400889032,-0.5031152714990488,0.3018709224885937,0.596800636771774,-0.2202395918574441,0.7723882707875519,0.3643590408927909,-0.5654955990302132,0.7219352479531577,0.049476330878872175,0.24756413663425322,-0.8113543815472944,-0.7649288621183089,-0.22985842112781352,-0.08133837911163239,-0.16426457730813934,0.04584082949947915,-0.7314410171715775,-0.22967449730512887,0.47650484412071,-0.12933537392486844,-0.3351499007433001,0.25119680546302775,0.466869557896437,-0.1687695824207633,0.36302136829808596,-0.06259660376482436,0.016105320147969893,-0.8229935654893336,0.3012842006883023,-0.25510587296951115,-0.1406196219124239,0.23205111471861037,-0.0989048430209391,-0.40289457814242474,0.06805030566598759,-0.15656452891953962,-0.15243745170182477,0.03316036821737439,-0.4718618527660871,0.1074531667368802,0.1607806988959355,-0.4252024463385498,0.10981786368586832,-0.40155747876464964
DNA denaturation,-0.8905015080735577,-0.22370903244173998,-0.06895372666553662,0.7069870082305741,-0.5793416299921008,0.28887697726618405,-0.5806002393296195,0.40283288192934064,1.0,0.5987438404914476,-0.5152414544158946,0.2532837322531209,0.3934657253480831,0.4545836950116544,0.44091207173818114,0.38738724532169866,0.7069870082305741,-0.8762107304849405,0.45476779051596844,-0.5793416299921008,-0.877434659608992,0.7069870082305741,0.7533226710758086,0.5298910259793971,0.3449315187466457,-0.015372423780383747,0.811941708505161,0.8893163569441108,0.5786168932786028,0.6138353410663494,0.5815623187887698,0.7069870082305741,0.44945594785777476,0.529529068245699,0.7184363234844188,0.20675441083675644,0.3540861806341194,0.6525226949345689,-0.06634524301599588,-0.48086936472832637,-0.03973721893554569,0.0,0.42195392130051773,-0.2107731088618678,-0.06028571388012644,-0.6562490573837406,-0.14380016153130146,-0.49537124811683364,0.23854015014972385,0.537640958777667,0.5987438404914476,0.9286000478326752,-0.6248967699649594,0.3607708129636393,0.32119514804172156,0.15105682761188688,-0.6138353410663494,-0.7481718893260355,0.39848487471223176,0.5811902087134168,0.637682829872074,-0.12843949147631312,-0.12853033910537823,-0.1505187580518616,0.017773656655227947,0.35020120826820234,0.5374594584759019,0.2517472141807928,0.26806630089627775,0.6665887695552295,-0.04953540089007361,-0.48146228264291574,-0.44681426416392267,-0.6360319226853242,-0.357666400352735,0.20478690913071912,0.031622249667806135,0.23554824871738766,0.7755498744648277,0.3540861806341194,0.20675441083675644,0.7184363234844188,0.6525226949345689,0.529529068245699,0.44945594785777476,-0.13092796624184552,0.2711103435104793,-0.10688894334884345,0.20071858338416596,-0.24133941689827743
Bending stiffness,-0.46653088038653623,0.32575816057188023,-0.12190828018605297,0.9153149934721531,-0.46730335656123156,0.7154972024329161,-0.8581874547275737,0.7723882707875519,0.5987438404914476,1.0,-0.11523431641061668,-0.40971171242289933,0.1609865418389307,0.7723882707875519,0.5544851782935692,0.39573141611572826,0.9153149934721531,-0.3868951324683564,0.7734891364309678,-0.46730335656123156,-0.38867232533181045,0.9153149934721531,0.7903958166816051,0.10572603263594507,-0.20193007073154814,-0.47141782176183517,0.31376489788332984,0.4683613564655028,0.7988256825741112,0.7923930997705467,0.7343693814118051,0.9153149934721531,-0.06675973988715671,0.39079197790464526,0.0030287271429785137,0.20838389944288818,-0.31638328498133167,0.11068707784984605,0.3588782631722635,-0.4994411685933155,-0.3862678916546745,1.481243427602392e-17,0.8838461258412932,-0.7025185528768383,5.540995400900462e-18,-0.017495942589600737,-0.5675145945009236,0.042305494579526544,0.617136442034795,-0.1831715753516387,1.0,0.5359784505943934,-0.7476622993156307,0.8502180970079976,0.21922072595058462,0.34819306564666935,-0.7923930997705467,-0.8151859920811049,0.07122775263599726,0.2610124650130789,0.12350850700101677,-0.22021569437710897,-0.6805888061957803,-0.378359440529264,0.40783171041033967,0.20259595696484461,-0.07724273746798076,0.07373423981597152,0.4433468005325947,-0.08953962941135722,0.10370659117917448,-0.2778297408108999,0.015134193229728221,-0.922988112646267,0.2989015592886667,-0.019460804532451983,-0.24897660305280325,0.34774074960550744,0.1043153153113631,-0.31638328498133167,0.20838389944288818,0.0030287271429785137,0.11068707784984605,0.39079197790464526,-0.06675973988715671,-0.13985413837234215,0.07695288689022572,-0.3737038539680092,0.1906063371966678,-0.027262243619707888
