"chr","start","end","name","othernames","status"
"1","10578","11078","","","Dubious"
"1","14876","15876","","","Dubious"
"1","20109","20609","","","Dubious"
"1","43650","44150","","","Dubious"
"1","50226","51226","","","Dubious"
"1","53600","54600","","","Dubious"
"1","61633","62133","","","Likely"
"1","69625","70125","","","Likely"
"1","73976","74976","","","Dubious"
"1","78850","79350","","","Likely"
"1","84850","85350","","","Likely"
"1","87476","88476","","","Likely"
"1","94350","95350","","","Likely"
"1","112209","114006","I-113","","Confirmed"
"1","124138","124638","","","Likely"
"1","129780","130280","","","Likely"
"1","149600","150600","","","Dubious"
"1","165350","166350","","","Likely"
"1","189726","190726","","","Likely"
"1","199090","199590","","","Likely"
"1","206110","206610","","","Likely"
"1","226558","233558","","","Dubious"
"1","238726","239726","","","Likely"
"1","243802","244302","","","Likely"
"1","294103","294603","","","Likely"
"1","301987","302487","","","Likely"
"1","311599","312099","","","Dubious"
"1","325664","328495","I-327","","Confirmed"
"1","354054","361054","","","Likely"
"1","364438","364938","","","Likely"
"1","393986","400986","","","Dubious"
"1","409960","410460","","","Likely"
"1","440041","440541","","","Likely"
"1","456100","457100","","","Dubious"
"1","463726","464726","","","Likely"
"1","473278","473778","","","Likely"
"1","489397","489897","","","Likely"
"1","524478","531478","","","Likely"
"1","562432","562932","","","Likely"
"1","591850","592850","","","Likely"
"1","607765","608265","","","Likely"
"1","617600","634600","","","Dubious"
"1","649723","650223","","","Likely"
"1","706822","718108","I-712","","Confirmed"
"1","739100","740100","","","Dubious"
"1","749100","750100","","","Dubious"
"1","760976","761976","","","Dubious"
"1","765050","765550","","","Likely"
"1","783726","784726","","","Dubious"
"1","793876","794376","","","Likely"
"1","842692","843192","","","Likely"
"1","843976","844976","","","Likely"
"1","876010","876510","","","Likely"
"1","880411","880911","","","Likely"
"1","892726","893726","","","Dubious"
"1","902092","902592","","","Likely"
"1","937850","938850","","","Dubious"
"1","965218","965718","","","Likely"
"1","974293","981293","","","Dubious"
"1","1017511","1024511","","","Likely"
"1","1025540","1030460","I-1028","","Confirmed"
"1","1057600","1074600","","","Dubious"
"1","1079374","1079874","","","Likely"
"1","1082850","1083850","","","Likely"
"1","1089904","1090404","","","Likely"
"1","1093083","1096822","I-1095","","Confirmed"
"1","1136549","1143549","","","Likely"
"1","1148035","1148535","","","Likely"
"1","1148620","1150990","I-1150","","Confirmed"
"1","1156324","1156824","","","Likely"
"1","1161726","1162726","","","Likely"
"1","1190600","1191600","","","Likely"
"1","1196068","1196568","","","Likely"
"1","1224976","1225976","","","Likely"
"1","1247560","1256790","I-1252","","Confirmed"
"1","1274665","1275165","","","Likely"
"1","1277694","1284694","","","Likely"
"1","1315600","1332600","","","Dubious"
"1","1359510","1360010","","","Likely"
"1","1370519","1377519","","","Likely"
"1","1385065","1392065","","","Likely"
"1","1420661","1421161","","","Likely"
"1","1443260","1443760","","","Likely"
"1","1476173","1476673","","","Likely"
"1","1488107","1488607","","","Likely"
"1","1498476","1499476","","","Dubious"
"1","1500320","1507320","","","Likely"
"1","1508843","1509343","","","Likely"
"1","1540600","1557600","","","Dubious"
"1","1573226","1574226","","","Likely"
"1","1598850","1599850","","","Dubious"
"1","1615527","1622527","","","Likely"
"1","1664327","1664827","","","Likely"
"1","1666100","1667100","","","Likely"
"1","1707824","1708324","","","Likely"
"1","1718226","1719226","","","Likely"
"1","1733906","1734406","","","Likely"
"1","1765726","1766726","","","Dubious"
"1","1767035","1767535","","","Dubious"
"1","1787600","1804600","","","Dubious"
"1","1822476","1823476","","","Dubious"
"1","1827299","1827799","","","Likely"
"1","1833968","1834468","","","Likely"
"1","1855954","1862954","","","Likely"
"1","1891226","1892226","","","Likely"
"1","1894404","1894904","","","Likely"
"1","1918600","1935600","","","Dubious"
"1","1945850","1946850","","","Dubious"
"1","1953308","1953808","","","Likely"
"1","1957976","1958976","","","Dubious"
"1","1974468","1974968","","","Likely"
"1","2024726","2025726","","","Likely"
"1","2041725","2042225","","","Likely"
"1","2043291","2043791","","","Likely"
"1","2081222","2088222","","","Likely"
"1","2095626","2096126","","","Likely"
"1","2105600","2122600","","","Dubious"
"1","2129796","2136796","","","Likely"
"1","2139763","2140263","","","Likely"
"1","2193709","2194209","","","Likely"
"1","2203623","2210623","","","Dubious"
"1","2220620","2230490","I-2226","","Confirmed"
